spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,0.985397,10.000000,0.182999,-3.492164,0.294920,19.488000,-4.701913,-783.612500,11.955180,9.620747,0,0,1
1,0.985397,10.000000,0.233118,-2.712644,0.095071,19.488000,-5.094313,-782.047600,11.150790,8.818166,0,0,1
1,0.985397,10.000000,0.300123,-1.153605,-0.351714,19.488000,-5.879113,-778.927100,9.529003,7.198679,0,0,1
1,0.985397,10.000000,0.366287,0.015674,-0.728004,19.488000,-6.467712,-776.594900,8.301291,5.970877,0,0,1
1,0.985397,10.000000,0.416614,1.184954,-1.139611,19.488000,-7.056312,-774.269700,7.064411,4.731287,0,0,1
1,0.985397,10.000000,0.483145,2.354233,-1.586533,19.488000,-7.644912,-771.951500,5.820015,3.479848,0,0,1
1,0.985397,10.000000,0.533392,3.133752,-1.904102,19.488000,-8.037312,-770.409900,4.988122,2.639456,0,0,1
1,0.985397,10.000000,0.600190,4.692791,-2.586326,19.488000,-8.822113,-767.335700,3.332980,0.956978,0,0,1
1,0.985397,10.000000,0.666872,5.862070,-3.139197,19.488000,-9.410714,-765.038200,2.142457,0.458102,1,1,1
0,0.912676,10.000000,0.066164,-5.986219,0.562044,16.896340,-7.495474,788.326100,14.432690,12.083500,0,0,0
0,0.912676,10.000000,0.116491,-4.972439,0.088771,16.896340,-8.084074,785.965800,13.335090,10.980420,0,0,0
0,0.912676,10.000000,0.183023,-3.958658,-0.419817,16.896340,-8.672675,783.612500,12.233840,9.872519,0,0,0
0,0.912676,10.000000,0.233269,-3.282805,-0.778496,16.896340,-9.065076,782.047600,11.499420,9.133273,0,0,0
0,0.912676,10.000000,0.300067,-1.931099,-1.542942,16.896340,-9.849877,778.927100,10.037420,7.662530,0,0,0
0,0.912676,10.000000,0.366749,-0.917319,-2.157478,16.896340,-10.438480,776.594900,8.957031,6.580503,0,0,0
0,0.912676,10.000000,0.416916,0.096461,-2.807331,16.896340,-11.027080,774.269700,7.905887,5.541298,0,0,0
0,0.912676,10.000000,0.482929,1.097227,-3.222369,15.938050,7.550192,136.713100,6.906354,4.565676,0,0,0
0,0.912676,10.000000,0.533339,1.734749,-2.932134,15.938050,7.157792,136.440100,6.265619,3.907328,0,0,0
0,0.912676,10.000000,0.600035,3.009792,-2.398751,15.938050,6.372993,135.895700,5.026298,2.649625,0,0,0
0,0.912676,10.000000,0.666589,3.966075,-2.039915,15.938050,5.784393,135.488800,4.146603,1.811982,0,0,0
0,0.912676,10.000000,0.732499,4.922358,-1.716396,15.938050,5.195793,135.083100,3.334595,1.248591,0,0,0
0,0.912676,10.000000,0.782988,5.878640,-1.428192,15.938050,4.607193,134.678700,2.640217,1.333814,0,1,0
1,1.039115,10.000000,0.066681,-5.757877,0.866993,20.702060,-2.412982,-788.326100,14.291010,11.952470,0,0,1
1,1.039115,10.000000,0.116849,-4.515754,0.698670,20.702060,-3.001582,-785.965800,13.050830,10.719610,0,0,1
1,1.039115,10.000000,0.182861,-3.273631,0.495031,20.702060,-3.590182,-783.612500,11.802970,9.480031,0,0,1
1,1.039115,10.000000,0.233271,-2.445549,0.339652,20.702060,-3.982582,-782.047600,10.966440,8.649712,0,0,1
1,1.039115,10.000000,0.299967,-0.789384,-0.018194,20.702060,-4.767381,-778.927100,9.281404,6.979337,0,0,1
1,1.039115,10.000000,0.366522,0.452739,-0.327781,20.702060,-5.355981,-776.594900,8.006367,5.718304,0,0,1
1,1.039115,10.000000,0.432432,1.694862,-0.672684,20.702060,-5.944581,-774.269700,6.720950,4.451630,0,0,1
1,1.039115,10.000000,0.482921,2.936985,-1.052902,20.702060,-6.533180,-771.951500,5.424510,3.184065,0,0,1
1,1.039115,10.000000,0.533600,3.765067,-1.326001,20.702060,-6.925580,-770.409900,4.553782,2.346239,0,0,1
1,1.039115,10.000000,0.599814,5.421231,-1.919287,20.702060,-7.710380,-767.335700,2.796067,0.848691,0,0,1
1,1.039115,10.000000,0.616739,5.835272,-2.077419,20.702060,-7.906579,-766.569100,2.353126,0.691511,1,1,1
0,0.870994,10.000000,0.066634,-5.960279,0.869658,17.328700,-2.368575,788.326100,14.486670,12.146380,0,0,1
0,0.870994,10.000000,0.133222,-4.920557,0.703999,17.328700,-2.957175,785.965800,13.441000,11.105430,0,0,1
0,0.870994,10.000000,0.199495,-3.534262,0.428185,17.328700,-3.741975,782.829700,12.032940,9.703394,0,0,1
0,0.870994,10.000000,0.249773,-2.841114,0.266734,17.328700,-4.134375,781.266300,11.322600,8.995822,0,0,1
0,0.870994,10.000000,0.299966,-1.801393,-0.004872,17.328700,-4.722974,778.927100,10.248810,7.925643,0,0,1
0,0.870994,10.000000,0.366144,-0.761671,-0.311794,17.328700,-5.311574,776.594900,9.164787,6.844243,0,0,1
0,0.870994,10.000000,0.417262,-0.068523,-0.536029,17.328700,-5.703974,775.044000,8.436363,6.116738,0,0,1
0,0.870994,10.000000,0.482803,1.317772,-1.031587,17.328700,-6.488773,771.951500,6.966120,4.645151,0,0,1
0,0.870994,10.000000,0.549652,2.357493,-1.444457,17.328700,-7.077373,769.640100,5.852999,3.526456,0,0,1
0,0.870994,10.000000,0.616658,3.397215,-1.892643,17.328700,-7.665973,767.335700,4.734118,2.395041,0,0,1
0,0.870994,10.000000,0.666670,4.436936,-2.376145,17.328700,-8.254573,765.038200,3.617267,1.254346,0,0,1
0,0.870994,10.000000,0.716805,5.130084,-2.718100,17.328700,-8.646974,763.510300,2.883728,0.507739,0,0,1
0,0.870994,10.000000,0.749748,5.823231,-3.075751,17.328700,-9.039374,761.985500,2.178087,0.383771,1,1,1
0,0.794873,10.000000,0.050056,-6.059922,0.772287,15.535630,-3.961016,788.326100,14.557180,12.213200,0,0,0
0,0.794873,10.000000,0.101174,-5.438498,0.602075,15.535630,-4.353416,786.751800,13.912880,11.569090,0,0,0
0,0.794873,10.000000,0.166716,-4.195648,0.214562,15.535630,-5.138216,783.612500,12.612190,10.267290,0,0,0
0,0.794873,10.000000,0.233564,-3.263511,-0.117275,15.535630,-5.726815,781.266300,11.626560,9.279225,0,0,0
