spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
0,0.902661,10.000000,0.783046,6.667317,-2.477762,16.857870,5.087759,220.641900,1.431355,0.409533,1,1,1
1,0.935803,10.000000,0.066311,-5.717386,0.188257,16.032680,-10.441090,-787.538600,14.083030,12.420270,0,0,0
1,0.935803,10.000000,0.116447,-5.076079,-0.241159,16.032680,-10.833490,-785.965800,13.363950,11.698820,0,0,0
1,0.935803,10.000000,0.166531,-4.114119,-0.914712,16.032680,-11.422090,-783.612500,12.292290,10.624840,0,0,0
1,0.935803,10.000000,0.232818,-3.152159,-1.623581,16.032680,-12.010700,-781.266300,11.236780,9.570256,0,0,0
1,0.935803,10.000000,0.282862,-2.190198,-2.367767,16.032680,-12.599300,-778.927100,10.209790,8.551061,0,0,0
1,0.935803,10.000000,0.333265,-1.548891,-2.883511,16.032680,-12.991700,-777.371500,9.549602,7.902951,0,0,0
1,0.935803,10.000000,0.384234,-0.615631,-3.102707,14.928490,8.503463,-1506.262000,8.616243,6.977821,0,0,0
1,0.935803,10.000000,0.450099,0.280078,-2.616044,14.928490,7.914862,-1501.752000,7.729464,6.073943,0,0,0
1,0.935803,10.000000,0.500301,0.877218,-2.311221,14.928490,7.522462,-1498.753000,7.156007,5.492301,0,0,0
1,0.935803,10.000000,0.550328,1.772927,-1.883417,14.928490,6.933863,-1494.266000,6.326388,4.659245,0,0,0
1,0.935803,10.000000,0.616511,2.668636,-1.490930,14.928490,6.345263,-1489.792000,5.540824,3.890105,0,0,0
1,0.935803,10.000000,0.683144,3.862915,-1.022549,14.928490,5.560463,-1483.847000,4.585388,3.024723,0,0,0
1,0.935803,10.000000,0.733315,4.460054,-0.811903,14.928490,5.168064,-1480.884000,4.161609,2.701829,0,0,0
1,0.935803,10.000000,0.799648,5.355763,-0.525363,14.928490,4.579464,-1476.450000,3.621576,2.428706,0,0,0
1,0.935803,10.000000,0.857607,6.251472,-0.274139,14.928490,3.990864,-1472.030000,3.238467,2.467940,0,0,0
1,0.935803,10.000000,0.866156,6.550042,-0.198246,14.928490,3.794664,-1470.559000,3.154711,2.549399,0,1,0
0,0.880850,10.000000,0.050799,-6.055066,0.502759,15.748920,-8.483563,788.326100,14.484960,12.824570,0,0,0
0,0.880850,10.000000,0.116635,-5.110131,-0.029799,15.748920,-9.072165,785.965800,13.442380,11.778920,0,0,0
0,0.880850,10.000000,0.166887,-4.165197,-0.597673,15.748920,-9.660766,783.612500,12.400130,10.733910,0,0,0
0,0.880850,10.000000,0.217708,-3.535241,-0.995875,15.748920,-10.053170,782.047600,11.708040,10.040640,0,0,0
0,0.880850,10.000000,0.268229,-2.590306,-1.622609,15.748920,-10.641770,779.706100,10.679500,9.012599,0,0,0
0,0.880850,10.000000,0.333846,-1.645372,-2.284659,15.748920,-11.230370,777.371500,9.671863,8.011080,0,0,0
0,0.880850,10.000000,0.400192,-0.700438,-2.982025,15.748920,-11.818970,775.044000,8.700456,7.057345,0,0,0
0,0.880850,10.000000,0.466556,0.508304,-2.933509,14.741480,7.544991,105.469700,7.491992,5.847655,0,0,0
0,0.880850,10.000000,0.517171,1.097963,-2.643481,14.741480,7.152592,105.259000,6.911239,5.255681,0,0,0
0,0.880850,10.000000,0.583416,1.982451,-2.237870,14.741480,6.563992,104.943900,6.065620,4.399058,0,0,0
0,0.880850,10.000000,0.633421,2.866939,-1.867575,14.741480,5.975392,104.629700,5.256492,3.593334,0,0,0
0,0.880850,10.000000,0.683481,3.456598,-1.640331,14.741480,5.582993,104.420700,4.742490,3.097904,0,0,0
0,0.880850,10.000000,0.750322,4.635915,-1.232932,14.741480,4.798193,104.004100,3.799947,2.284469,0,0,0
0,0.880850,10.000000,0.817303,5.520403,-0.968584,14.741480,4.209593,103.692700,3.205472,1.957224,0,0,0
0,0.880850,10.000000,0.867037,6.404891,-0.739553,14.741480,3.620994,103.382200,2.766585,2.001127,0,1,0
1,0.938957,10.000000,0.066634,-5.639771,0.322972,17.002870,-8.757150,-787.538600,14.038710,12.377500,0,0,0
1,0.938957,10.000000,0.116804,-4.959656,-0.039086,17.002870,-9.149550,-785.965800,13.293600,11.630370,0,0,0
1,0.938957,10.000000,0.183137,-3.939484,-0.611602,17.002870,-9.738152,-783.612500,12.176030,10.510010,0,0,0
1,0.938957,10.000000,0.241097,-2.919312,-1.219435,17.002870,-10.326750,-781.266300,11.063530,9.395924,0,0,0
1,0.938957,10.000000,0.299802,-1.899141,-1.862584,17.002870,-10.915350,-778.927100,9.964272,8.298414,0,0,0
1,0.938957,10.000000,0.366347,-0.538912,-2.775052,17.002870,-11.700160,-775.819100,8.541875,6.891758,0,0,0
1,0.938957,10.000000,0.416740,0.141202,-3.254830,17.002870,-12.092560,-774.269700,7.862928,6.232853,0,0,0
1,0.938957,10.000000,0.483078,1.107138,-2.909365,15.989040,7.595291,-1442.657000,6.893458,5.248352,0,0,0
1,0.938957,10.000000,0.533155,2.066480,-2.477191,15.989040,7.006691,-1438.338000,5.956508,4.294326,0,0,0
1,0.938957,10.000000,0.583397,2.706042,-2.208696,15.989040,6.614292,-1435.465000,5.352771,3.685215,0,0,0
1,0.938957,10.000000,0.649750,3.985165,-1.718793,15.989040,5.829492,-1429.737000,4.214308,2.578440,0,0,0
1,0.938957,10.000000,0.699803,4.624727,-1.497385,15.989040,5.437092,-1426.882000,3.694634,2.128422,0,0,0
1,0.938957,10.000000,0.750308,5.584069,-1.194704,15.989040,4.848493,-1422.610000,3.015927,1.725926,0,0,0
1,0.938957,10.000000,0.816351,6.543412,-0.927338,15.989040,4.259893,-1418.351000,2.533294,1.822661,0,1,0
0,0.924703,10.000000,0.066683,-5.904620,0.799117,18.256350,-3.544244,788.326100,14.414290,12.758080,0,0,1
0,0.924703,10.000000,0.117188,-4.809240,0.562919,18.256350,-4.132844,785.965800,13.295530,11.640420,0,0,1
0,0.924703,10.000000,0.183231,-3.713860,0.291404,18.256350,-4.721444,783.612500,12.167490,10.513140,0,0,1
0,0.924703,10.000000,0.233482,-2.618480,-0.015426,18.256350,-5.310043,781.266300,11.029950,9.375840,0,0,1
0,0.924703,10.000000,0.300270,-1.523099,-0.357573,18.256350,-5.898643,778.927100,9.882906,8.228309,0,0,1
0,0.924703,10.000000,0.366577,-0.427719,-0.735035,18.256350,-6.487243,776.594900,8.726770,6.677538,0,0,1
0,0.924703,10.000000,0.416887,0.667662,-1.147813,18.256350,-7.075842,774.269700,7.562657,5.509143,0,0,1
