impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.519949,-2.214353,14.247230,4.719409,217.437900,0,10.000000,2.601517,0
5.613441,-2.736802,18.549180,-8.732599,-764.273900,1,10.000000,2.401028,1
5.441176,-3.077801,15.209770,5.729070,246.460100,0,10.000000,2.560006,1
5.585410,-2.379177,15.483670,4.956827,215.733700,0,10.000000,2.493124,0
5.414347,-3.161166,15.906020,-9.061640,760.463700,0,10.000000,2.590671,1
5.423357,-2.788896,19.264860,6.402400,-1353.479000,1,10.000000,2.585276,1
5.641201,-1.907310,17.943650,5.399849,-1393.220000,1,10.000000,2.599597,0
5.470287,-2.722791,17.605670,5.933517,-1327.267000,1,10.000000,2.544856,1
5.503128,-2.266984,18.255150,5.675790,-1369.777000,1,10.000000,2.602246,0
5.808309,-1.956722,21.347190,-7.772770,-767.335700,1,10.000000,2.427332,1
5.639281,-2.678093,19.639450,6.038690,-1354.229000,1,10.000000,2.382566,1
5.362018,-2.847881,17.169480,-8.777781,762.747500,0,10.000000,2.642364,1
5.387650,-2.682773,18.217140,-8.653145,-764.273900,1,10.000000,2.631541,1
5.455015,-2.960926,17.037820,6.093399,218.914900,0,10.000000,2.545285,1
5.661198,-1.912195,17.973060,5.392664,-1392.622000,1,10.000000,2.579402,0
5.548374,-2.731745,14.590520,5.206707,240.935300,0,10.000000,2.466259,1
5.370126,-2.498468,16.501500,5.278607,206.980700,0,10.000000,2.677269,0
5.369074,-1.942786,17.020490,5.439015,-1380.005000,1,10.000000,2.835396,0
5.362503,-2.149650,14.069830,4.549024,215.827700,0,10.000000,2.771188,0
5.334073,-3.134194,17.620110,-9.241395,763.510300,0,10.000000,2.669302,1
5.493682,-2.048931,21.540840,-8.003578,-768.103100,1,10.000000,2.680702,1
5.197713,-3.148289,16.041590,-9.087063,761.224200,0,10.000000,2.806208,1
5.371349,-2.347528,18.043220,5.799003,-1364.284000,1,10.000000,2.708418,0
5.246302,-2.247227,14.288890,4.493286,221.228800,0,10.000000,2.854737,0
5.343807,-2.339936,16.477540,5.247000,-1331.697000,1,10.000000,2.736977,0
5.430115,-2.720162,17.031380,5.854633,-1319.893000,1,10.000000,2.585076,1
5.262493,-2.487510,17.327220,5.736796,-1342.507000,1,10.000000,2.785065,0
5.265636,-2.386634,16.836650,5.526402,187.040500,0,10.000000,2.802314,0
5.274883,-2.948215,18.051310,-9.043501,-764.273900,1,10.000000,2.725609,1
5.350670,-2.948700,16.903560,5.814883,-1300.657000,1,10.000000,2.649827,1
5.286045,-2.071420,14.732190,4.783045,197.851300,0,10.000000,2.868417,0
5.781671,-2.988915,17.504470,6.053414,-1304.748000,1,10.000000,2.218357,1
5.573024,-2.841412,15.412280,5.443133,238.565000,0,10.000000,2.432152,1
5.742563,-2.823388,19.778350,6.357818,-1349.259000,1,10.000000,2.264335,1
5.599297,-2.145464,15.125270,4.690804,205.534900,0,10.000000,2.548256,0
5.800524,-2.732368,15.297720,5.525783,229.742400,0,10.000000,2.215699,1
5.745635,-2.794282,14.822070,5.415491,239.362600,0,10.000000,2.263732,1
5.744296,-3.020083,16.951600,5.947679,-1294.459000,1,10.000000,2.255794,1
5.791992,-2.745127,18.811760,-8.744842,-764.273900,1,10.000000,2.222670,1
5.884559,-2.663681,21.474270,-8.951037,-767.335700,1,10.000000,2.142009,1
5.781721,-2.915832,15.666390,5.638381,238.122900,0,10.000000,2.219875,1
5.737794,-2.587399,18.572440,5.955492,-1345.733000,1,10.000000,2.299525,1
5.818778,-2.755481,16.157300,5.606175,225.662600,0,10.000000,2.194885,1
5.799898,-2.860130,18.285580,-8.849874,763.510300,0,10.000000,2.204544,1
5.811671,-3.290315,21.352790,-9.995430,-767.335700,1,10.000000,2.207503,1
6.098125,-2.933941,15.655350,5.574823,242.694700,0,10.000000,1.903022,1
5.880112,-2.851338,16.691310,5.535625,232.336000,0,10.000000,2.125094,1
5.830989,-2.230030,20.048430,-8.088022,-765.803200,1,10.000000,2.301622,1
6.199882,-3.247411,20.470540,6.582441,-1320.385000,1,10.000000,1.817041,1
6.218323,-2.361004,20.653640,-8.292669,-765.803200,1,10.000000,1.892799,1
5.999256,-3.024198,17.566570,-8.969707,761.985500,0,10.000000,2.000890,1
6.218392,-1.861924,16.342500,4.673684,-1344.724000,1,10.000000,2.114082,0
5.941199,-2.231702,16.839480,5.060554,192.791200,0,10.000000,2.197485,0
5.944294,-2.611458,14.352510,4.996269,241.127800,0,10.000000,2.092102,1
6.065669,-1.932398,14.605610,4.048773,209.356800,0,10.000000,2.209391,0
5.865632,-2.418381,15.027380,5.046493,222.571000,0,10.000000,2.212195,1
5.906945,-2.203425,18.866990,5.772091,-1377.815000,1,10.000000,2.239511,0
5.847665,-3.052932,21.412780,-9.599791,-767.335700,1,10.000000,2.152986,1
6.064355,-2.223575,15.299460,4.771393,213.861600,0,10.000000,2.085559,0
6.128738,-2.015204,16.216350,4.701293,189.648600,0,10.000000,2.114579,0
6.051781,-2.275667,18.513170,5.543692,-1357.987000,1,10.000000,2.078513,0
6.037058,-2.292696,18.480580,5.751837,-1363.208000,1,10.000000,2.086485,0
5.954933,-2.080450,15.570620,4.772224,198.752600,0,10.000000,2.242292,0
6.121533,-1.861521,14.324340,3.843032,209.939300,0,10.000000,2.196537,0
6.107033,-3.197850,17.938340,6.374874,-1284.814000,1,10.000000,1.903278,1
5.760106,-2.767853,19.187690,6.055841,-1339.047000,1,10.000000,2.251892,1
6.039425,-2.722979,19.015720,6.024746,-1335.676000,1,10.000000,1.980049,1
5.901315,-2.870098,20.034410,6.282481,-1342.939000,1,10.000000,2.102702,1
5.976172,-3.236909,15.870070,6.148179,243.184200,0,10.000000,2.037647,1
5.825136,-2.129846,18.743470,5.889794,-1375.820000,1,10.000000,2.342478,0
5.820942,-2.630491,14.567090,5.011684,240.596100,0,10.000000,2.210166,1
5.917423,-2.941927,17.455980,-8.858531,761.985500,0,10.000000,2.083386,1
5.933135,-2.822531,17.242990,5.637842,-1300.963000,1,10.000000,2.074470,1
5.777804,-2.208525,15.742780,4.926588,202.439800,0,10.000000,2.358938,0
6.032178,-3.061889,17.862340,5.949166,-1295.995000,1,10.000000,1.968795,1
5.853370,-2.377304,15.418590,4.894781,220.152600,0,10.000000,2.235122,0
5.693044,-3.144804,18.666240,-9.332603,-764.273900,1,10.000000,2.311496,1
5.491265,-3.243170,18.926160,-9.568251,-765.038200,1,10.000000,2.520492,1
5.702936,-2.012086,14.893500,4.318502,204.211700,0,10.000000,2.500495,0
5.790287,-2.039883,16.197770,4.988738,182.237500,0,10.000000,2.409286,0
5.499127,-2.444661,16.680660,5.353339,200.736900,0,10.000000,2.561790,0
5.535315,-2.497312,15.406050,5.062612,222.742900,0,10.000000,2.515426,1
5.875434,-2.027528,18.277160,5.442051,-1381.021000,1,10.000000,2.336553,0
5.565285,-2.817158,14.995610,5.428503,239.031200,0,10.000000,2.441571,1
5.562706,-2.491268,19.528990,6.078950,-1373.418000,1,10.000000,2.489821,1
5.665214,-2.802856,19.189730,-8.901106,-765.038200,1,10.000000,2.343095,1
5.766853,-2.562704,15.690150,5.244485,223.403500,0,10.000000,2.275560,1
5.844935,-2.763110,20.070220,-8.920962,-765.803200,1,10.000000,2.168045,1
5.573898,-2.914695,20.280490,-9.257028,-766.569100,1,10.000000,2.427601,1
5.612458,-2.402297,15.505480,5.184509,212.558700,0,10.000000,2.461221,0
