impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.534333,-2.087038,16.765990,5.121645,172.689900,0,10.000000,2.629261,0
5.442642,-3.226422,21.452840,-10.033740,-768.103100,1,10.000000,2.567362,1
5.414844,-3.138396,18.025250,6.278226,-1309.223000,1,10.000000,2.588858,1
5.456528,-1.929129,15.781190,4.682949,176.193800,0,10.000000,2.759713,0
5.475050,-2.038598,20.121060,-7.843965,-766.569100,1,10.000000,2.701789,1
5.588674,-2.308333,18.959290,5.984749,-1380.568000,1,10.000000,2.508564,0
5.373158,-2.704280,17.675950,-8.627230,763.510300,0,10.000000,2.643435,1
5.344936,-2.426887,18.154330,-8.276840,764.273900,0,10.000000,2.716215,1
5.353502,-2.168277,19.302360,-7.991532,-765.803200,1,10.000000,2.774116,1
5.423162,-2.357868,16.575160,5.473883,190.665500,0,10.000000,2.655641,0
6.010252,-2.532671,15.588640,5.226676,224.133100,0,10.000000,2.043892,1
5.998337,-2.959265,14.736070,5.476850,249.395700,0,10.000000,2.002078,1
5.996003,-2.657580,15.970230,5.396774,226.542500,0,10.000000,2.033041,1
5.829888,-2.299474,15.402030,4.741216,217.136700,0,10.000000,2.280378,0
6.023703,-2.508085,18.446650,5.706538,-1339.977000,1,10.000000,2.036597,1
5.927152,-3.094173,18.801470,6.345232,-1314.854000,1,10.000000,2.074986,1
5.850226,-2.264709,18.216770,5.559808,-1359.332000,1,10.000000,2.272043,0
6.117165,-2.500235,17.526010,5.536935,-1324.266000,1,10.000000,1.948033,1
5.827395,-2.425260,15.781040,5.155070,215.018200,0,10.000000,2.247340,1
6.147391,-3.260896,17.299210,-9.236145,761.224200,0,10.000000,1.870889,1
6.038839,-2.800748,20.270320,6.112376,-1344.550000,1,10.000000,1.971257,1
6.094533,-2.493572,15.309780,4.955271,230.192400,0,10.000000,1.971617,1
5.974751,-3.197771,18.535370,-9.332219,-763.510300,1,10.000000,2.034883,1
5.859550,-2.673768,18.756930,5.824629,-1334.778000,1,10.000000,2.165168,1
6.098559,-2.984909,18.712230,-9.028130,-763.510300,1,10.000000,1.901500,1
6.280124,-1.934702,19.455470,5.718176,-1404.786000,1,10.000000,2.023075,0
6.369816,-3.266440,21.564220,-9.824360,-766.569100,1,10.000000,1.651814,1
6.400284,-1.871993,14.289700,3.992671,212.503300,0,10.000000,1.957419,0
6.408065,-2.090993,15.743450,4.451555,208.911800,0,10.000000,1.833180,0
6.442654,-3.212712,20.194480,6.554502,-1317.269000,1,10.000000,1.571806,1
6.404969,-1.875612,15.017540,3.897714,206.159300,0,10.000000,1.951505,0
6.224001,-2.578390,15.454670,5.120363,232.265300,0,10.000000,1.825357,1
6.319893,-3.128750,18.499860,-9.167877,-762.747500,1,10.000000,1.685033,1
6.358792,-2.979523,14.798310,5.428248,252.715300,0,10.000000,1.641336,1
6.251605,-3.273324,17.907580,-9.306366,-761.985500,1,10.000000,1.769631,1
6.266729,-2.516088,15.922730,4.980348,228.856400,0,10.000000,1.799555,1
6.387743,-2.087574,16.123370,4.528614,203.258400,0,10.000000,1.852538,0
6.330125,-2.138640,14.878520,4.509458,218.366000,0,10.000000,1.878942,0
5.983389,-3.104262,15.079790,5.939222,243.254600,0,10.000000,2.019305,1
6.136579,-3.202521,19.103350,6.504558,-1299.726000,1,10.000000,1.874394,1
6.235682,-2.215778,19.365080,5.753374,-1376.253000,1,10.000000,1.930757,0
6.131013,-2.813904,18.758600,-8.783837,-763.510300,1,10.000000,1.878229,1
5.948013,-2.833776,16.783070,5.559359,230.347200,0,10.000000,2.058708,1
6.336079,-2.021968,18.401920,5.325898,-1370.582000,1,10.000000,1.930073,0
6.133821,-2.427274,19.198480,5.678175,-1354.189000,1,10.000000,1.952086,1
6.026122,-2.557925,14.818350,5.098792,233.311000,0,10.000000,2.022776,1
6.244403,-3.011264,17.897850,-8.952229,761.985500,0,10.000000,1.755633,1
6.249124,-2.807759,18.751010,5.808565,-1316.796000,1,10.000000,1.761398,1
6.056049,-2.734241,17.413710,5.760468,-1311.239000,1,10.000000,1.962033,1
6.039631,-2.115829,19.687680,5.810059,-1397.493000,1,10.000000,2.150536,0
5.962939,-2.233774,17.337440,5.394446,-1344.004000,1,10.000000,2.176400,0
6.077802,-2.902567,20.319060,6.230110,-1338.546000,1,10.000000,1.924666,1
6.121530,-2.656388,14.919160,5.259407,235.765200,0,10.000000,1.909639,1
6.085356,-2.723619,20.345350,6.236777,-1354.975000,1,10.000000,1.934489,1
6.222528,-2.751081,19.910230,6.082047,-1341.243000,1,10.000000,1.794817,1
6.088350,-2.218859,15.737390,4.599212,213.164400,0,10.000000,2.065088,0
5.982194,-2.633481,18.372270,5.788734,-1331.009000,1,10.000000,2.050823,1
6.322930,-1.900890,15.651080,4.454410,192.913500,0,10.000000,2.005145,0
6.175746,-1.999971,16.704930,5.041453,195.366100,0,10.000000,2.080375,0
6.307781,-3.266575,20.644580,6.551532,-1317.785000,1,10.000000,1.713087,1
6.154878,-2.637366,18.626220,5.783020,-1330.530000,1,10.000000,1.880420,1
6.005315,-2.861478,14.760380,5.300230,248.263300,0,10.000000,1.999489,1
6.100719,-2.694640,20.370130,6.283518,-1358.892000,1,10.000000,1.923671,1
5.980811,-3.203005,16.641810,-9.116244,760.463700,0,10.000000,2.029369,1
6.043411,-2.204710,16.083300,4.931480,202.031800,0,10.000000,2.112044,0
6.080112,-2.343370,17.014950,5.154634,200.745400,0,10.000000,2.029071,1
6.304147,-2.006272,18.907630,5.473310,-1383.625000,1,10.000000,1.965557,0
6.190414,-2.178023,16.283810,4.724971,203.448500,0,10.000000,1.987523,0
5.973677,-3.129114,17.763500,6.158361,-1297.620000,1,10.000000,2.030433,1
6.048008,-2.681098,20.387520,-8.792819,-765.803200,1,10.000000,1.977870,1
6.032720,-2.556014,16.925090,5.383496,213.299400,0,10.000000,2.016758,1
5.994266,-2.950782,20.169710,6.444746,-1340.666000,1,10.000000,2.006338,1
6.175987,-2.084193,18.707730,5.587236,-1377.384000,1,10.000000,2.041011,0
6.306115,-1.842637,15.631900,4.510852,182.474100,0,10.000000,2.051521,0
6.150898,-2.207574,18.658930,5.643829,-1366.345000,1,10.000000,2.011744,0
6.285976,-2.695621,19.389290,6.066199,-1339.150000,1,10.000000,1.740840,1
6.185241,-2.221933,19.288650,5.744048,-1375.474000,1,10.000000,1.974523,0
6.307047,-3.168850,19.377070,6.232085,-1305.344000,1,10.000000,1.701353,1
6.230720,-1.857394,15.938420,4.589727,182.423200,0,10.000000,2.106158,0
6.140794,-1.991685,15.049270,4.272042,207.315900,0,10.000000,2.115029,0
6.109414,-3.064762,14.855290,5.652281,250.630900,0,10.000000,1.891695,1
6.305232,-2.621042,15.944630,5.386156,228.790800,0,10.000000,1.736620,1
5.976346,-2.520529,15.546090,5.241831,222.865700,0,10.000000,2.079680,1
6.203193,-2.233639,15.099310,4.454101,223.734600,0,10.000000,1.953413,0
6.254130,-1.874163,15.578230,4.265918,192.838800,0,10.000000,2.077395,0
6.127957,-2.985346,17.740490,-8.917205,761.985500,0,10.000000,1.872100,1
6.375627,-3.025125,17.331620,5.886992,234.721500,0,10.000000,1.624568,1
6.265896,-3.251809,21.396610,-9.800761,-766.569100,1,10.000000,1.752291,1
6.319177,-3.292393,20.001560,6.429999,-1306.794000,1,10.000000,1.706065,1
6.263888,-3.085155,17.924180,-9.052082,761.985500,0,10.000000,1.738199,1
6.128868,-2.157177,16.631350,5.072942,190.997000,0,10.000000,2.052191,0
6.117883,-2.950753,19.717880,6.346703,-1331.668000,1,10.000000,1.882761,1
6.253144,-1.943149,16.818300,4.886000,-1347.410000,1,10.000000,2.041676,0
6.309232,-2.189729,17.336830,5.117273,-1335.909000,1,10.000000,1.874896,0
6.198724,-2.687058,15.021620,5.224044,238.725700,0,10.000000,1.828258,1
6.234594,-2.062923,18.245380,5.498627,-1369.232000,1,10.000000,1.998692,0
6.379362,-2.688695,19.113380,-8.604966,-763.510300,1,10.000000,1.650266,1
6.236078,-2.914840,15.036330,5.531089,244.846000,0,10.000000,1.765976,1
